text,label
"I liked Boyle's performance, but that's about the only positive thing I can say. Everything was overdone to the point of absurdity. Most of the actors spoke like you would expect your 9-year-old nephew to speak if he were pretending to be a jaded, stone-hearted cop, or an ultra-evil villain. The raspy voice-overs seemed amateurish to me. I could go buy a cheap synthesizer and crank out better opening music. And what's with the whole 1984ish police torture stuff? It was totally superfluous and had nothing to do with the actual events of the story. Cox added a lot of things, in fact, that he apparently thought would be really cool, but had nothing to do with the story. That's a big disappointment because one of the things that makes Borges' stories so good is his minimalism -- they are tightly bound, with no superfluous details. This movie is just the opposite. I stopped watching after the scene where Lonnrot is questioning the guy from the Yidische Zaitung, or thereabouts. I wasted $4 renting this, but at least I can get some satisfaction from writing this review and hopefully saving others from making the same mistake.",0
"The only thing I knew about this film prior to seeing it was Robby The Robot. My preconception was that it was another in a long line of cheesy sci-fi flicks that the 1950's was noted for. How wrong I was. Big studio, big budget and big production values make this a strong contender, at least visually, for the best sci-fi film coming out of the era. I qualify with the word visually, because ""War Of The Worlds"" is a lot darker and scarier than ""Forbidden Planet"", and probably fits the mold better as a foray into alien territory.<br /><br />What impressed me immediately was the color rendition of the cinematography, followed by the intricacy and scope of detail involved in Dr. Morbius' (Walter Pidgeon) home and laboratory. But that was only the prelude to the icing on the cake, the labyrinthine underground that served as the Krell stronghold. It appeared that Krell technology was even more advanced than say, that of ""Star Wars"". Which made me consider, audiences for this movie back when it was released probably sat in the same kind of awe that theater goers experienced in 1977 with SW, or in 1986 with ""Aliens"". Watching it on a large screen TV in my living room offered me the same effect, and I'm fairly resistant to hyperbole.<br /><br />It's not too much of a stretch to imagine ""Forbidden Planet"" as a direct antecedent of the 'Star Trek' TV series; Gene Roddenberry himself stated that the movie had a great impact on his vision for the show. Followers of that short lived series will readily recognize plot elements used here that turned up in 'Star Trek'. I had to do a double take when the men of United Planets Cruiser C57-V headed for a transporter room, while the conundrum presented to Robby that created an impossibility to respond was an element used at least two or three times in the ST series.<br /><br />Where the movie definitely took a cerebral turn had to do with the whole idea of 'monsters from the Id'. That Morbius himself was using his subconscious mind to defend Altaire IV was certainly a unique concept for 1956, when every other sci-fi flick of the time was dealing with Martians or other grotesque space creatures. The film worked it's subtle magic on this viewer by helping me understand that Morbius was the protector of Altaire IV some time before Commander Adams (Leslie Nielsen) explained it.<br /><br />You know, looking at the calendar, the year 2200 isn't that far off. This movie may be the one that actually gets it right relative to exploring and living on other planets. I think though, that they'll have to come up with a sleeker looking version of Robby.",1
"Conrad Hall went out with a bang. The great film photographer finished his illustrious career with this movie before passing on. He did himself proud as this is one of the best-looking crime films you'll ever see.<br /><br />Of course, the acting ain't bad when you have Tom Hanks and Paul Newman playing the leads! The amount of action in here is just right, too: not too much; not too little.<br /><br />None of the characters in here, frankly, are ""good guys"" as Hanks is a professional hit-man for town boss Newman. Hanks' only redeeming quality is not wanting his young son to wind up a killer like him, although he does teach him how to be the getaway man in robberies! Huh?<br /><br />As good as the acting is and as interesting as the story is, the real star of this film is cinematographer Hall, who paints scene after beautiful scene with his lens. His work is just awesome.",1
"Normally I wouldn't feel qualified to review something I only saw a half hour of, but I'll make an exception for this one.<br /><br />Let the dialogue speak for itself! Here's some of the bad guy's lines: ""I smell...teacher!"" ""Sorry, teacher! You get an 'F!'""<br /><br />Bad guy and bad girl ( right after killing 2 cops and stealing a van full of drugs, they're getting hot and heavy):<br /><br />Him -""So how do you feel about shooting some innocent bystanders?""<br /><br />Her- (purrs) ""You sure know how to show a girl a good time..."" One generic kid who ran for his life instead of helping someone, gets to sum up his life and personality in this line -""I AM a CHICKEN-TWIT! (this was the USA network version) My old man was right! No wonder he left us..."" Boo-hoo.<br /><br />(Not actually a spoiler ) Bad guy (on fire) screams ""Aargh! Fire!""",0
"This film could be one of the most underrated film of Bollywood history.This 1994 blockbuster had all of it good performances,music and direction.I remember I was in Allahabad when this movie was running and it was somewhere in March at Holi time , the people there were playing its song ""Ooe Amma"" at their loudspeakers in highest volume. If someone who likes to watch Some Like It Hot and drools over Marilyn Monroe he should see this movie.Thumbs Up to Govinda.How many of you know that this film was shot in South of India and after Sholay could be one of the very few blockbuter to hit Silver Screen.With films like these Indian comedy could never be dead.",1
"This film is a jolt of punk rock fun, from start to finish. The Ramones, reigning princes of late-70s Punk rock, appear as themselves. PJ Soles stars as Riff Randle, the rebellious high school girl who lives and breathes rock 'n roll. Riff is obsessed with writing songs for the Ramones, her favorite rock band. She keeps the school rockin', and encourages her fellow-students to join her in her jubilant antics.<br /><br />Meanwhile the school that Riff attends, has just hired a brand-new Principal, named Ms. Togar. She's a tall, intimidating Amazon of a woman. And she vows to make the students 'toe-the-line'. She even has a couple of the students act as monitors, who report back to her with dirt on their classmates. Ms. Togar is especially determined to nab Riff, and put a stop to Riff's anarchic shenanigans. But Riff has clever ways to foil Togar, at every turn.<br /><br />Kudos to the superb performance of Mary Woronov, in her role as Principal Togar. Mary is a legendary B movie actress. And in this film, she plays the fascist Ms. Togar, with sneering relish. PJ Soles as Riff, turns in an electrifying performance. Clint Howard as the duplicitous Eaglebauer, has lots of fun with his role.<br /><br />The Ramones perform many of their hit songs in this film. And so the viewer sees why the Ramones were so influential, in the 70s Punk rock scene. Certainly, this is a good film for Ramones fans. But even if you're not into the Ramones, or Punk rock, this movie is a terrific blast (literally) of energetic fun.",1
"Pathetic... worse than a bad made-for-TV movie. I can't believe that Spacey and Freeman were in this flick. For some reason Morgan Freeman's character is constantly talking about and saying ""pussy"" when referring to NSync boy's girlfriend. Morgan Freeman calling women ""pussy"" is just awkward... What the hell were the people behind this film thinking? Too many plot holes to imagine combined with the horrid acting, confusing camera angles, a lame script and cheap background music made this movie absolutely unbearable.<br /><br />I rented this flop with low expectations.... but... well... it really sucked.",0
"I hated the first episode of this show ( 'Protesting Hippies' ) so much in 1999 that I shunned the rest. However, when it came on 'The Paramount Comedy Channel' I watched it in full and, to my surprise, found it absolutely hilarious ( Motto: never judge a comedy series in its first week )! <br /><br />Set in 1969, 'Hippies' stars Simon Pegg as 'Ray Purbbs', editor of an 'Oz'-like underground magazine called 'Mouth'. His friends are the feminist Jill, laid-back Alex, and the half-wit Hugo. Back in the late '60's, there was a feeling of incredible optimism amongst the young, that they could change the world through the printing of magazines nobody read. Rather than sneering at the hippies' naivety, 'Hippies' is affectionate towards it. Arthur Mathews' scripts cheekily parody a number of that era's icons - 'Hair', 'Woodstock', 'The Graduate', even the infamous 'Oz' obscenity trial of the early '70's. Excellent performances from the cast; Julian Rhind-Tutt's 'Alex' strangely put me in mind of the Richard O'Sullivan character from 'Man About The House'. Its a shame that there was never a second series, possibly because of people like me. If you missed 'Hippies', give it a try. Once you get past the dire opener, you're in for a treat!",1
"The director states in the Behind-the-Scenes feature that he loves horror movies. He loves them so much that he dedicated the movie to Dario Argento, as well as other notable directors such as George A. Romero and Tobe Hooper. Basically dedicating this movie to those great directors is like giving your mother a piece of sh*t for Mother's Day. The first thing they did wrong was the casting. CAST PEOPLE THAT CAN ACT. Also, don't cast a person that is 40 years old for the role of a misunderstood, 18 year old recluse. That's right, he's been in high school for 22 years. The reactions made by people as they watch their boyfriends get their hearts ripped out is amusing. Or like one part when a guy gets stabbed in the ear with an ear of corn (haha get it), and his girlfriend just goes, ""Oh..my.. God?"" The scarecrow himself is quite a character. Doing flips off cars and calling people losers.<br /><br />The movie does have one redeeming factor... oh wait, no it doesn't.<br /><br />If you absolutely MUST see this movie, than just watch the Rock and Roll trailer on the DVD. It covers about everything and has a really gnarly song dude.",0
"Small SPOILERS alert !!!<br /><br />Good movie...VERY good movie. And I'm surprised to say that myself, because I'm not a big fan of vampires and the sound of the director's name Deran Serafian usually means bad news. Most of his films are below average action movies like Death Warrant and Gunmen. This was one of his first films and maybe he should have continued making horror movies instead of action. This movie really fascinated me. Good accomplishment, seeing no famous actors or big budget was involved. It really is the story that keeps you focused. Especially fans of the original Dracula myth will be satisfied. Sarafian lights up another aspect of the famous Bram Stoker story and remains rather loyal and true to the truth. It explains the life of the Roemenian Count Dracula and how he scared the Turkish army away by spearing dead corpses in front of his castle. Of course, that's where the reality and the ""based on a true story"" stops. The blood drinking and stuff all was invented by Bram Stoker.<br /><br />In this movie, the count ( Vlad Teppish) emigrates to the USA and seduces tons of woman. And they're all pretty girls, I'll give him that. Overall, good acting by unknown faces, enough blood and gore to satisfy the more morbid horror fans and an interesting storyline. This film is really unknown and it was hidden on the darkest shelf at my local videostore. But it certainly is worth cleaning up the dust on the cover and put it in the VCR. Heck, it's a lot better than the famous Nicole Kidman movie with the same title. These two films have nothing else in common, but I blame that movie for stealing the attention away from this nice little picture. Check it out...my humble opinion on To Die For = 8.5/10",1
"SPOILERS Sex huh? It's one of the most basic parts of human life. Yet, do we ever take it too seriously? People always want more, even those who get it on a daily basis, and if you are unlucky, there are potential life changing (creating) consequences. Ironically people claim we are all starting to have sex at a younger and younger age (despite Victorians getting married and having children in their early teens), so it must be increasingly difficult for those who get to a point as virgins. In Steve Carell's first big screen lead, he plays a man who has gotten to 40 without managing it. Treating us to countless lude and extreme sex related incidents, not to mention more profanity than an episode of ""Eurotrash"", the general plot of the film and it's principle doesn't sound funny. It's a pleasant surprise therefore that for all the inappropriate, failed jokes, there are an incredibly large number of ones which hit the mark and leave the audience in hysterics.<br /><br />Andy Stitzer (Carell) is a nice guy with a good job and a pleasant temperament. At the same time though, he blatantly takes life too seriously and after being invited to a poker game as a necessary fifth member, Andy's friends discover his secret. At the age of 40, Andy is still a virgin. Now, for multiple reasons, but mostly pity, the three men (Paul Rudd, Seth Rogen and Romany Malco) all offer Andy advice with one goal in mind. To put him out of his misery and get him laid.<br /><br />One of the few good things about ""Anchorman"", it was only going to be a matter of time before Steve Carell got himself a lead of his own. Impressively, in ""The 40 Year Old Virgin"" he doesn't disappoint. Showing the hopeless, shy virgin to perfection, Carell is a revelation as he gradually grows increasingly confident as the advice begins to help.<br /><br />Carell is not alone however in his performance. Rudd, Rogen, Malco and Catherine Keener as the love interest are all superb. Rudd is a personal favourite as the love sick David who falls apart at multiple times and shares the finest scene with Rogen as the two argue over homosexuality.<br /><br />The biggest surprise about this film is not the way that so many of the jokes hit the mark, but actually the clever way that it flips the message on it's head. Obviously designed for conservative America, the film's entire tone evolves from a simple story of sexual conquest into one of safe sex and abstinence. The virgin doesn't need sex to make his life complete, he just needs confidence and true love. A worthy message to preach, and a considerable improvement on the one you expect to see at the beginning of the film.<br /><br />It's weird to see a crude comedy which is consistently funny and well acted, but low and behold, ""40 Year Old Virgin"" is just that. Throw in a well meaning message too and you're well on the way to a top class comedy. A surprising joy.",1
"I have to finish watching a movie once I start, regardless of how bad it is. This movie was agonizing to sit through. The ""sparkling"" bullets, the reporter with ""ninja"" like moves, the way the bad guys shoot hundreds and hundreds of bullets and only seem to hit innocent bystanders, the predictable outcome and all the bad acting was just horrible. Like the girl who finds the reporter in her friends apartment and goes from ""what the heck are you doing in here (holding a bat)"" to ""hey, you're cute, wanna @#$%!???"" in like 1.2 seconds.... Just bad.... Save yourself an hour and forty minutes and go play with your kids (or dog)!",0
"I realize several Ben Stiller movies are out or will be out this year, but perhaps he should insist on quality, not quantity.<br /><br />I was dumbfounded at what the filmmakers thought passed for comedy in ""Along Came Polly."" <br /><br />Stiller's Reuben is grating, charmless and ranks as one of the worst performances of the year. Stiller's schtick is getting tiresome. He undoubtedly has comic talent, but he needs to either find another schtick or take a break, find some material that is actually funny. Because his movies are going from painfully humorless to excruciatingly bad.<br /><br />There's absolutely no chemistry between Stiller and Jennifer Aniston, which is a shame because she's a good, smart actress with a promising career. As long as she keeps making more movies such as ""The Good Girl"" (in which she's terrific) and less like ""Along Came Polly,"" she'll have a career of which she could be proud.<br /><br />Aniston tries desperately to overcome the limp material with which she's working, but it's a daunting task for any actress. With the exception of a few moments with Alec Baldwin, as Reuben's boss Stan, and Philip Seymour Hoffman, as Reuben's best friend Sandy, there's nothing funny in this awful film. Other supporting characters, including Debra Messing as Lisa and Hank Azaria as Claude, are annoying. Azaria's accent is not only stupid, it's terribly unfunny.<br /><br />The premise of ""Along Came Polly"" certainly showed promise. Unfortunately, it needed a writer who could actually turn it into a good comedy, instead of this lame, dull, boring excuse for a comedy.",0
"This was my second time watching the film (via the French-language version as opposed to the first, which was dubbed in Italian) and I feel that it improves on subsequent viewings.<br /><br />A compelling if slowly built-up character study that's beautifully shot and with the Parisian settings being equally impressive. In the long run, it's not top-grade Polanski and I would rank it at number 9 in his filmography but it's still a confident mix of subtle chills and, surprisingly, often broad comedy. It also features a fine cast, all of whom are in good form, but especially Isabelle Adjani, Melvyn Douglas and Jo Van Fleet.<br /><br />Even so, I'm a bit baffled by the sudden compulsion for Trelkovsky to 'change' into the previous tenant; apart from the owner of the café opposite the apartment building, where he is given whatever Simone used to have without asking him if he wished any different, there is little to indicate (as far as I could discern, anyway) that this is what everybody wanted of him! Okay, so he found Simone's belongings still lying in the apartment but what exactly drove him to wear her dresses and make himself up as her (even if he apparently started doing this unconsciously)? Following his nightmarish visions in the bathroom, the last section of the film (where Adjani all but disappears) is almost anti-climactic - especially the scene where the landlord and the other tenants witness his attempted suicide as if it were a night at the Opera, a concept which had already been used 46 years earlier by Jean Cocteau in THE BLOOD OF A POET (1930)!<br /><br />The ending, then, is at once predictable and unresolved: just what made the two occupants of this particular apartment jump out of the window?!; I remember this factor bugging me on first viewing as well, and I'm sorry to say it's no clearer now! Mind you, the film's first two-thirds are pretty solid but I wish that Polanski had been less reliant on obscure plot points throughout.",1
"Watching this Movie? l thought to myself, what a lot of garbage. These girls must have rocks for brains for even agreeing to be part of it. Waste of time watching it, faint heavens l only hired it. The acting was below standard and story was unbearable. Anyone contemplating watching this film, please save your money. The film has no credit at all. l am a real film buff and this is worse than ""Attack of the Green Tomatoes"".<br /><br />l only hope that this piece of trash didn't cost too much to make. Money would have been better spent on the homeless people of the world. l only hope there isn't a sequel in the pipeline.",0
"This movie is yet another in the long line of no budget, no effort, no talent movies shot on video and given a slick cover to dupe unsuspecting renters at the video store.<br /><br />If you want to know what watching this movie is like, grab a video camera and some red food dye and film yourself and your friends wandering around the neighborhood at night growling and ""attacking"" people. Congratulations, you've just made ""Hood of the Living Dead""! Now see if a distribution company will buy it from you.<br /><br />I have seen some low budget, shot on video films that displayed talent from the filmmakers and actors or at the very least effort, but this has neither. Avoid unless you are a true masochist or are amused by poorly made horror movies.",0
"As much as I dislike saying 'me too' in response to other comments - it's completely true that the first 30 minutes of this film have nothing whatsoever to do with the endless dirge that comprises the following 90.<br /><br />Having been banned somewhere doesn't make a film watchable. Just because it doesn't resemble a Hollywood product does not make it credible.<br /><br />Worse yet, in addition to no discernible plot (other than there are lots of muddy places in Russia and many people, even very old women, drink lots of vodka) a number of visuals are so unnecessarily nauseating I'm in to my second package of Rolaids.<br /><br />As for spoilers - well, the film is so devoid of any narrative thread I couldn't write one if I tried.<br /><br />Don't waste your time or money, and don't confuse this with good Russian cinema.",0
"I went to see this movie twice within a week and can only sum it up in one word (which I normally don't use lightly): Wonderful! In my view, the best movie ever made. Who deserves Oscars and other awards if not this Swedish crew who have created cinematic perfection in the last scenes of the film, when everything that is said (and left unsaid) throughout the story is drawn together? Just as the character of Daniel Dareus evokes so many sentiments and long repressed feelings within the people around him, the movie does the same to its viewers: You walk out with your head abuzz and your heart feeling full. Great stuff! Next time you ask yourself ""what is the meaning of life"", perhaps think about how you feel after a sumptuous experience like As it is in Heaven: Happy, content, fulfilled. To say it with Virginia Woolf's Mrs Dalloway: ""Such moments are enough"".",1
"Being an Austrian myself this has been a straight knock in my face. Fortunately I don't live nowhere near the place where this movie takes place but unfortunately it portrays everything that the rest of Austria hates about Viennese people (or people close to that region). And it is very easy to read that this is exactly the directors intention: to let your head sink into your hands and say ""Oh my god, how can THAT be possible!"". No, not with me, the (in my opinion) totally exaggerated uncensored swinger club scene is not necessary, I watch porn, sure, but in this context I was rather disgusted than put in the right context.<br /><br />This movie tells a story about how misled people who suffer from lack of education or bad company try to survive and live in a world of redundancy and boring horizons. A girl who is treated like a whore by her super-jealous boyfriend (and still keeps coming back), a female teacher who discovers her masochism by putting the life of her super-cruel ""lover"" on the line, an old couple who has an almost mathematical daily cycle (she is the ""official replacement"" of his ex wife), a couple that has just divorced and has the ex husband suffer under the acts of his former wife obviously having a relationship with her masseuse and finally a crazy hitchhiker who asks her drivers the most unusual questions and stretches their nerves by just being super-annoying.<br /><br />After having seen it you feel almost nothing. You're not even shocked, sad, depressed or feel like doing anything... Maybe that's why I gave it 7 points, it made me react in a way I never reacted before. If that's good or bad is up to you!",1
